Adjusted..in.million.USD.,Original..in.million.USD.,Painting,Image,Artist,Year,Date.of.sale,Rankat.sale,Seller,Buyer,Auction.house
$207.8,$137.5,Woman III,NA,Willem de Kooning,1953,"November 18, 2006",2,David Geffen,Steven A. Cohen,Private sale via Larry Gagosian[39]
$205.1,$165.0,Masterpiece,NA,Roy Lichtenstein,1962,January 2017,12,Agnes Gund[40][41],Steven A. Cohen[42],Private sale
$204,$135,Portrait of Adele Bloch-Bauer I,NA,Gustav Klimt,1907,"June 18, 2006",1,Maria Altmann,"Ronald Lauder, Neue Galerie",Private sale via Christie's[43]
$202.7,$155,Le Rêve,NA,Pablo Picasso,1932,"March 26, 2013",6,Steve Wynn,Steven A. Cohen,Private sale[44]
$192.4,$82.5,Portrait of Dr. Gachet,NA,Vincent van Gogh,1890,"May 15, 1990",1,Siegfried Kramarsky heirs,Ryoei Saito[note 5][47],"Christie's, New York"
$190.7,$157.2,Nu couché (sur le côté gauche),NA,Amedeo Modigliani,1917,"May 15, 2018",NA,Ezra and David Nahmad,,"Sotheby's, New York[48]"
$190.4,$150,Portrait of Adele Bloch-Bauer II,NA,Gustav Klimt,1912,2016,10,Oprah Winfrey[note 6],Unidentified buyer in China,Private sale via Larry Gagosian[49]
$186.3,$142.4,Three Studies of Lucian Freud,NA,Francis Bacon,1969,"November 12, 2013",8,[note 7],"Elaine Wynn, ex-wife of Steve Wynn[52]","Christie's, New York[53]"
$182.1,$78.1,Bal du moulin de la Galette[note 8],NA,Pierre-Auguste Renoir,1876,"May 17, 1990",2,Betsey Whitney,Ryoei Saito [note 9],"Sotheby's, New York"
$175,$140.8(¥931.5),Twelve Landscape Screens,NA,Qi Baishi,1925,"December 17, 2017",NA,,,Beijing Poly Auction[54]
$168,$104.2,Garçon à la pipe,NA,Pablo Picasso,1905,"May 5, 2004",3,Greentree Foundation(Whitney family),Guido Barilla (suspected)[55],"Sotheby's, New York[56]"
$167.8,$149.2,"Les Poseuses, Ensemble (Petite version)",NA,Georges Seurat,1888,"November 9, 2022",1,Paul G. Allen,,"Christie's, New York"
$159.2,$119.9,The Scream[note 10],NA,Edvard Munch,1895,"May 2, 2012",8,Petter Olsen,Leon Black[57],"Sotheby's, New York"
$157,$120,Otahi,NA,Paul Gauguin,1893,2013,10,Yves Bouvier,Dmitry Rybolovlev,Private sale [note 11]
$157,$118,Reclining Nude With Blue Cushion,NA,Amedeo Modigliani,1916,2012,8,Steven A. Cohen,Dmitry Rybolovlev,Private sale via Yves Bouvier[29]
$155,$137.7,La Montagne Sainte-Victoire,NA,Paul Cezanne,1888-90,"November 9, 2022",2,Paul G. Allen,,"Christie's, New York"
$153.7,$110.0,Flag[note 12],NA,Jasper Johns,1958,March 2010,7,Jean-Christophe Castelli,Steven A. Cohen,"Private sale, estimated price[59]"
$148.8,$106.5,"Nude, Green Leaves and Bust",NA,Pablo Picasso,1932,"May 4, 2010",9,Frances Lasker Brody estate,Leonard Blavatnik (suspected)[60][61],"Christie's, New York[62]"
$147.5,$58 plus exchange ofworks[note 13],Portrait of Joseph Roulin,NA,Vincent van Gogh,1889,"August 1, 1989",1,"Private collection, Zürich",Museum of Modern Art New York,"Private sale viaThomas Ammann,Fine Art Zurich[63]"
$145.6,$107.5,L’Homme assis au verre,NA,Pablo Picasso,1914,May 2011,NA,Yves Bouvier[note 14],Dmitry Rybolovlev,Private sale viaYves Bouvier[64][65]
$139.3,$139.3,Femme à la montre,NA,Pablo Picasso,1932,"November 9, 2023",NA,Emily Fisher Landau's estate,Anonymous buyer,"Sotheby's, New York[66]"
$144.6,$53.9,Irises,NA,Vincent van Gogh,1889,"November 11, 1987",1,"John Whitney Payson, son of Joan Whitney Payson",Alan Bond[note 15],"Sotheby's, New York"
$143.9,$95.2,Dora Maar au Chat,NA,Pablo Picasso,1941,"May 3, 2006",6,Gidwitz family,Boris Ivanishvili[67],"Sotheby's, New York[68]"
$141.5,$100.0,Eight Elvises,NA,Andy Warhol,1963,October 2008,10,Annibale Berlingieri,The State of Qatar (suspected)[69][70],Private sale via Philippe Ségalot[71]
$139.5,$115,Young Girl with a Flower Basket,NA,Pablo Picasso,1905,"May 8, 2018",NA,David and Peggy Rockefeller,The Nahmad family[72],"Christie's, New York[73]"
$138.3 +,"$105.7 +[note 16](¥10,300)",Anna's Light,NA,Barnett Newman,1968,"October 4, 2013",NA,DIC Corp.,,Private sale[74][75][76]
$137.9,$105.4,Silver Car Crash (Double Disaster),NA,Andy Warhol,1963,"November 13, 2013",NA,,,"Sotheby's, New York[77]"
